accord,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
Gmin,0.034447156,0.3289227,0.011702841,0.5000077,0.41637796,0.05667109,0.27982885,0.009674205,0.8896155,0.024256459,0.029058034,0.80755395
D#min,0.015996685,0.52235585,0.019265607,0.5230655,0.30286542,0.010805095,0.8164758,0.029818173,0.12863074,0.056463193,0.6271064,0.47194818
Dmin,0.015996685,0.52235585,0.019265607,0.5230655,0.30286542,0.010805095,0.8164758,0.029818173,0.12863074,0.056463193,0.6271064,0.47194818
C#min,0.012186446,0.88143,0.004613009,0.24787459,0.6070319,0.03545017,0.31395423,0.0067909914,0.7663768,0.05049632,0.15704818,0.2391509
Cmin,0.012186446,0.88143,0.004613009,0.24787459,0.6070319,0.03545017,0.31395423,0.0067909914,0.7663768,0.05049632,0.15704818,0.2391509
G#min,0.024320088,0.02773565,0.004368829,0.9197784,0.07043679,0.0062759104,0.55046386,0.0055580223,0.8936935,0.009975587,0.009771305,0.9416964
Gmin,0.024320088,0.02773565,0.004368829,0.9197784,0.07043679,0.0062759104,0.55046386,0.0055580223,0.8936935,0.009975587,0.009771305,0.9416964
F#maj,0.0048441947,0.9599332,0.004899399,0.122294396,0.27998096,0.07010953,0.9156419,0.00505807,0.16118792,0.04606244,0.86623967,0.030545454
Fmaj,0.0048441947,0.9599332,0.004899399,0.122294396,0.27998096,0.07010953,0.9156419,0.00505807,0.16118792,0.04606244,0.86623967,0.030545454
Emaj,0.003926424,0.07088521,0.03470563,0.022163022,0.96996504,0.0017896559,0.022949321,0.01750304,0.9056906,0.031919573,0.0028732351,0.92180514
G#min,0.027214613,0.052250423,0.01779604,0.38151374,0.67819065,0.00901309,0.14833048,0.008963674,0.91382354,0.0216086,0.010159572,0.8990016
Gmin,0.027214613,0.052250423,0.01779604,0.38151374,0.67819065,0.00901309,0.14833048,0.008963674,0.91382354,0.0216086,0.010159572,0.8990016
Emaj,0.0033449982,0.5514314,0.02333279,0.013808799,0.96617216,0.0038048322,0.025913851,0.01208738,0.9049059,0.056950316,0.00349575,0.6849325
F#maj,0.0065757874,0.92790824,0.0037208332,0.30040294,0.18975998,0.037653863,0.92823505,0.006496721,0.10793526,0.014470713,0.8851888,0.042331196
Fmaj,0.0065757874,0.92790824,0.0037208332,0.30040294,0.18975998,0.037653863,0.92823505,0.006496721,0.10793526,0.014470713,0.8851888,0.042331196
G#min,0.033273853,0.32184905,0.011648716,0.50090903,0.42114735,0.05357246,0.27724427,0.009381562,0.8914334,0.024166426,0.027417041,0.81287515
Gmin,0.033273853,0.32184905,0.011648716,0.50090903,0.42114735,0.05357246,0.27724427,0.009381562,0.8914334,0.024166426,0.027417041,0.81287515
